,Delta,L,l_a,alpha,beta,gamma,phi,H_b,H_a/H_b,N_aqt,Mud/Total,l_conf,N_pal,s_pal,l_tra,t_max,N_chan,l_sal,Kaqf_type,Kaqt_type,Recharge,riv_c,n,Anisotropy,Kaqf,index,Kaqt
63,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,min,min,0.0002898275349237889,51.262046943365384,0.25,10.0,1.8,30,0.00018
64,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,min,max,0.0002898275349237889,51.262046943365384,0.25,10.0,1.8,30,0.02
65,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,min,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,1.8,30,0.0018973665961010285
66,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,max,min,0.0002898275349237889,51.262046943365384,0.25,10.0,200.0,61,0.00018
67,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,max,max,0.0002898275349237889,51.262046943365384,0.25,10.0,200.0,61,0.02
68,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,max,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,200.0,61,0.0018973665961010285
69,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,mid_0,min,0.0002898275349237889,51.262046943365384,0.25,10.0,18.973665961010276,92,0.00018
70,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,mid_0,max,0.0002898275349237889,51.262046943365384,0.25,10.0,18.973665961010276,92,0.02
71,Yellow River,1660.0,0.39759036144578314,0.001,0.00015,0.005,0.226301963180969,300,0.0,5.0,0.2,0.6,2.0,0.6,0.2,6000.0,1,0.0,mid_0,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,18.973665961010276,92,0.0018973665961010285
72,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,min,min,0.0002898275349237889,51.262046943365384,0.25,10.0,0.64,23,2.5e-08
73,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,min,max,0.0002898275349237889,51.262046943365384,0.25,10.0,0.64,23,1.0
74,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,min,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,0.64,23,0.00015811388300841894
75,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,max,min,0.0002898275349237889,51.262046943365384,0.25,10.0,1062.0,54,2.5e-08
76,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,max,max,0.0002898275349237889,51.262046943365384,0.25,10.0,1062.0,54,1.0
77,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,max,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,1062.0,54,0.00015811388300841894
78,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,mid_0,min,0.0002898275349237889,51.262046943365384,0.25,10.0,26.07067317888053,85,2.5e-08
79,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,mid_0,max,0.0002898275349237889,51.262046943365384,0.25,10.0,26.07067317888053,85,1.0
80,Rhone,106.0,0.29245283018867924,0.00011,0.0013333333333333333,0.02666666666666667,1.691860366359111,100,0.2,1.0,0.1,0.8,2.0,0.6,0.5,6000.0,1,0.0,mid_0,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,26.07067317888053,85,0.00015811388300841894
81,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,min,min,0.0004243668720054759,51.262046943365384,0.25,10.0,0.08639999999999999,20,8.64e-06
82,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,min,max,0.0004243668720054759,51.262046943365384,0.25,10.0,0.08639999999999999,20,0.000864
83,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,min,mid_0,0.0004243668720054759,51.262046943365384,0.25,10.0,0.08639999999999999,20,8.639999999999999e-05
84,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,max,min,0.0004243668720054759,51.262046943365384,0.25,10.0,86.4,51,8.64e-06
85,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,max,max,0.0004243668720054759,51.262046943365384,0.25,10.0,86.4,51,0.000864
86,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,max,mid_0,0.0004243668720054759,51.262046943365384,0.25,10.0,86.4,51,8.639999999999999e-05
87,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,mid_0,min,0.0004243668720054759,51.262046943365384,0.25,10.0,2.732207898385479,82,8.64e-06
88,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,mid_0,max,0.0004243668720054759,51.262046943365384,0.25,10.0,2.732207898385479,82,0.000864
89,Po,560.0,0.10714285714285714,4e-05,0.0004,0.013333333333333334,0.7895822393995231,1000,0.3,10.0,0.5,0.0,2.0,0.6,0.42857142857142855,6000.0,1,0.0,mid_0,mid_0,0.0004243668720054759,51.262046943365384,0.25,10.0,2.732207898385479,82,8.639999999999999e-05
90,Burdekin,160.0,0.25,0.0005,0.0006666666666666666,0.016,0.8248208831947746,100,0.1,2.0,0.6,1.0,2.0,0.6,1.0,10000.0,2,0.0,min,min,0.000254642481794772,51.262046943365384,0.3,1.0,10.0,1,2.5e-08
91,Burdekin,160.0,0.25,0.0005,0.0006666666666666666,0.016,0.8248208831947746,100,0.1,2.0,0.6,1.0,2.0,0.6,1.0,10000.0,2,0.0,min,max,0.000254642481794772,51.262046943365384,0.3,1.0,10.0,1,1.0
92,Burdekin,160.0,0.25,0.0005,0.0006666666666666666,0.016,0.8248208831947746,100,0.1,2.0,0.6,1.0,2.0,0.6,1.0,10000.0,2,0.0,min,mid_0,0.000254642481794772,51.262046943365384,0.3,1.0,10.0,1,0.00015811388300841894
93,Burdekin,160.0,0.25,0.0005,0.0006666666666666666,0.016,0.8248208831947746,100,0.1,2.0,0.6,1.0,2.0,0.6,1.0,10000.0,2,0.0,max,min,0.000254642481794772,51.262046943365384,0.3,1.0,200.0,32,2.5e-08
94,Burdekin,160.0,0.25,0.0005,0.0006666666666666666,0.016,0.8248208831947746,100,0.1,2.0,0.6,1.0,2.0,0.6,1.0,10000.0,2,0.0,max,max,0.000254642481794772,51.262046943365384,0.3,1.0,200.0,32,1.0
95,Burdekin,160.0,0.25,0.0005,0.0006666666666666666,0.016,0.8248208831947746,100,0.1,2.0,0.6,1.0,2.0,0.6,1.0,10000.0,2,0.0,max,mid_0,0.000254642481794772,51.262046943365384,0.3,1.0,200.0,32,0.00015811388300841894
